Song,Artist,Date,Streams,Rank,Country
90's Love,NCT U,2021-03-14,"1,031",170,"Korea, Republic of"
Spaceman,Nick Jonas,2021-03-14,"1,031",171,"Korea, Republic of"
One Last Kiss,Hikaru Utada,2021-03-14,"1,030",172,"Korea, Republic of"
SugarCrash!,ElyOtto,2021-03-14,"1,026",173,"Korea, Republic of"
The Middle,"Zedd, Maren Morris, Grey",2021-03-14,"1,023",174,"Korea, Republic of"
SOLO,JENNIE,2021-03-14,"1,021",175,"Korea, Republic of"
"thank u, next",Ariana Grande,2021-03-14,"1,020",176,"Korea, Republic of"
Shiny Star(2020),KyoungSeo,2021-03-14,"1,016",177,"Korea, Republic of"
Blueberry Faygo,Lil Mosey,2021-03-14,"1,009",178,"Korea, Republic of"
Give You My Heart,IU,2021-03-14,"1,006",179,"Korea, Republic of"
Me After You,Paul Kim,2021-03-14,"1,006",180,"Korea, Republic of"
Any song,ZICO,2021-03-14,"1,006",181,"Korea, Republic of"
Love Yourself,Justin Bieber,2021-03-14,"1,003",182,"Korea, Republic of"
I.F.L.Y.,Bazzi,2021-03-14,"1,003",183,"Korea, Republic of"
On The Ground,ROSÉ,2021-03-16,"21,136",1,"Korea, Republic of"
Rollin',Brave Girls,2021-03-16,"13,054",2,"Korea, Republic of"
Gone,ROSÉ,2021-03-16,"12,008",3,"Korea, Republic of"
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-03-16,"10,551",4,"Korea, Republic of"
Celebrity,IU,2021-03-16,"8,153",5,"Korea, Republic of"
Dynamite,BTS,2021-03-16,"7,619",6,"Korea, Republic of"
Hold On,Justin Bieber,2021-03-16,"6,398",7,"Korea, Republic of"
Save Your Tears,The Weeknd,2021-03-16,"4,791",8,"Korea, Republic of"
Levitating (feat. DaBaby),Dua Lipa,2021-03-16,"4,681",9,"Korea, Republic of"
drivers license,Olivia Rodrigo,2021-03-16,"4,544",10,"Korea, Republic of"
Life Goes On,BTS,2021-03-16,"4,534",11,"Korea, Republic of"
What’s Next,Drake,2021-03-16,"4,361",12,"Korea, Republic of"
Lovesick Girls,BLACKPINK,2021-03-16,"4,122",13,"Korea, Republic of"
We're Good,Dua Lipa,2021-03-16,"3,996",14,"Korea, Republic of"
Don't Call Me,SHINee,2021-03-16,"3,898",15,"Korea, Republic of"
Up,Cardi B,2021-03-16,"3,756",16,"Korea, Republic of"
telepatía,Kali Uchis,2021-03-16,"3,569",17,"Korea, Republic of"
At My Worst,Pink Sweat$,2021-03-16,"3,558",18,"Korea, Republic of"
Blinding Lights,The Weeknd,2021-03-16,"3,557",19,"Korea, Republic of"
Astronaut In The Ocean,Masked Wolf,2021-03-16,"3,503",20,"Korea, Republic of"
We Ride,Brave Girls,2021-03-16,"3,380",21,"Korea, Republic of"
eight(Prod.&Feat. SUGA of BTS),IU,2021-03-16,"3,183",22,"Korea, Republic of"
MELODY,ASH ISLAND,2021-03-16,"3,142",23,"Korea, Republic of"
Heartbreak Anniversary,Giveon,2021-03-16,"3,140",24,"Korea, Republic of"
TAIL,SUNMI,2021-03-16,"3,028",25,"Korea, Republic of"
34+35,Ariana Grande,2021-03-16,"3,024",26,"Korea, Republic of"
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021-03-16,"2,830",27,"Korea, Republic of"
Boy With Luv (feat. Halsey),BTS,2021-03-16,"2,720",28,"Korea, Republic of"
positions,Ariana Grande,2021-03-16,"2,676",29,"Korea, Republic of"
How You Like That,BLACKPINK,2021-03-16,"2,623",30,"Korea, Republic of"
Good Days,SZA,2021-03-16,"2,620",31,"Korea, Republic of"
Mood (feat. iann dior),24kGoldn,2021-03-16,"2,534",32,"Korea, Republic of"
Don't Start Now,Dua Lipa,2021-03-16,"2,525",33,"Korea, Republic of"
Streets,Doja Cat,2021-03-16,"2,518",34,"Korea, Republic of"
Blueming,IU,2021-03-16,"2,518",35,"Korea, Republic of"
Anyone,Justin Bieber,2021-03-16,"2,492",36,"Korea, Republic of"
VVS,"Mirani, Munchman, Khundi Panda, MUSHVENOM, JUSTHIS",2021-03-16,"2,468",37,"Korea, Republic of"
Watermelon Sugar,Harry Styles,2021-03-16,"2,443",38,"Korea, Republic of"
Circles,Post Malone,2021-03-16,"2,433",39,"Korea, Republic of"
Calling My Phone,"Lil Tjay, 6LACK",2021-03-16,"2,357",40,"Korea, Republic of"
Best Friend (feat. Doja Cat),Saweetie,2021-03-16,"2,304",41,"Korea, Republic of"
Panorama,IZ*ONE,2021-03-16,"2,259",42,"Korea, Republic of"
Blue & Grey,BTS,2021-03-16,"2,225",43,"Korea, Republic of"
FRIENDS,"lIlBOI, Wonstein",2021-03-16,"2,222",44,"Korea, Republic of"
I CAN'T STOP ME,TWICE,2021-03-16,"2,168",45,"Korea, Republic of"
Wants and Needs (feat. Lil Baby),Drake,2021-03-16,"2,150",46,"Korea, Republic of"
Bicycle,CHUNG HA,2021-03-16,"2,077",47,"Korea, Republic of"
Black Mamba,aespa,2021-03-16,"1,993",48,"Korea, Republic of"
Fly To My Room,BTS,2021-03-16,"1,973",49,"Korea, Republic of"
WITHOUT YOU,The Kid LAROI,2021-03-16,"1,972",50,"Korea, Republic of"
Dis-ease,BTS,2021-03-16,"1,956",51,"Korea, Republic of"
Heat Waves,Glass Animals,2021-03-16,"1,944",52,"Korea, Republic of"
2002,Anne-Marie,2021-03-16,"1,939",53,"Korea, Republic of"
Telepathy,BTS,2021-03-16,"1,925",54,"Korea, Republic of"
What Do I Call You,TAEYEON,2021-03-16,"1,893",55,"Korea, Republic of"
Therefore I Am,Billie Eilish,2021-03-16,"1,859",56,"Korea, Republic of"
Someone You Loved,Lewis Capaldi,2021-03-16,"1,849",57,"Korea, Republic of"
Nerves,DPR IAN,2021-03-16,"1,846",58,"Korea, Republic of"
I Like Me Better,Lauv,2021-03-16,"1,841",59,"Korea, Republic of"
Follow You,Imagine Dragons,2021-03-16,"1,821",60,"Korea, Republic of"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2021-03-16,"1,813",61,"Korea, Republic of"
METEOR,CHANGMO,2021-03-16,"1,797",62,"Korea, Republic of"
Baila Conmigo (with Rauw Alejandro),Selena Gomez,2021-03-16,"1,794",63,"Korea, Republic of"
Stay,BTS,2021-03-16,"1,777",64,"Korea, Republic of"
Goosebumps - Remix,"Travis Scott, HVME",2021-03-16,"1,751",65,"Korea, Republic of"
Rain On Me (with Ariana Grande),Lady Gaga,2021-03-16,"1,724",66,"Korea, Republic of"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2021-03-16,"1,680",67,"Korea, Republic of"
Pretty Savage,BLACKPINK,2021-03-16,"1,671",68,"Korea, Republic of"
Filter,BTS,2021-03-16,"1,667",69,"Korea, Republic of"
Adore You,Harry Styles,2021-03-16,"1,662",70,"Korea, Republic of"
comethru,Jeremy Zucker,2021-03-16,"1,658",71,"Korea, Republic of"
Savage Love (Laxed – Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo",2021-03-16,"1,655",72,"Korea, Republic of"
willow,Taylor Swift,2021-03-16,"1,623",73,"Korea, Republic of"
Bang!,AJR,2021-03-16,"1,621",74,"Korea, Republic of"
"How can I love the heartbreak, you're the one I love",AKMU,2021-03-16,"1,611",75,"Korea, Republic of"
ON,BTS,2021-03-16,"1,595",76,"Korea, Republic of"
Overdrive,Conan Gray,2021-03-16,"1,593",77,"Korea, Republic of"
Memories,Maroon 5,2021-03-16,"1,582",78,"Korea, Republic of"
Party Forever,Simon Dominic,2021-03-16,"1,579",79,"Korea, Republic of"
Hold my hand,IU,2021-03-16,"1,577",80,"Korea, Republic of"
Psycho,Red Velvet,2021-03-16,"1,567",81,"Korea, Republic of"
Square (2017),Yerin Baek,2021-03-16,"1,551",82,"Korea, Republic of"
BBIBBI,IU,2021-03-16,"1,539",83,"Korea, Republic of"
Be Kind (with Halsey),Marshmello,2021-03-16,"1,538",84,"Korea, Republic of"
Palette (feat. G-DRAGON),IU,2021-03-16,"1,532",85,"Korea, Republic of"
you broke me first,Tate McRae,2021-03-16,"1,529",86,"Korea, Republic of"
Ice Cream (with Selena Gomez),BLACKPINK,2021-03-16,"1,519",87,"Korea, Republic of"
Selfish Love (with Selena Gomez),DJ Snake,2021-03-16,"1,509",88,"Korea, Republic of"
Holy (feat. Chance The Rapper),Justin Bieber,2021-03-16,"1,507",89,"Korea, Republic of"
Prisoner (feat. Dua Lipa),Miley Cyrus,2021-03-16,"1,501",90,"Korea, Republic of"
What Other People Say,"Sam Fischer, Demi Lovato",2021-03-16,"1,500",91,"Korea, Republic of"
Arcade,Duncan Laurence,2021-03-16,"1,486",92,"Korea, Republic of"
ROCKSTAR (feat. Roddy Ricch),DaBaby,2021-03-16,"1,481",93,"Korea, Republic of"
Euphoria,BTS,2021-03-16,"1,481",94,"Korea, Republic of"
test drive,Ariana Grande,2021-03-16,"1,480",95,"Korea, Republic of"
PARANOIA,KANG DANIEL,2021-03-16,"1,474",96,"Korea, Republic of"
I'm Not Cool,HyunA,2021-03-16,"1,472",97,"Korea, Republic of"
No Blueberries,"DPR IAN, DPR LIVE, CL",2021-03-16,"1,470",98,"Korea, Republic of"
Maniac,Conan Gray,2021-03-16,"1,468",99,"Korea, Republic of"
Stuck with U (with Justin Bieber),Ariana Grande,2021-03-16,"1,462",100,"Korea, Republic of"
Intentions (feat. Quavo),Justin Bieber,2021-03-16,"1,429",101,"Korea, Republic of"
i'm so tired...,"Lauv, Troye Sivan",2021-03-16,"1,412",102,"Korea, Republic of"
친구,BTS,2021-03-16,"1,400",103,"Korea, Republic of"
If the World Was Ending - feat. Julia Michaels,JP Saxe,2021-03-16,"1,398",104,"Korea, Republic of"
HWAA,(G)I-DLE,2021-03-16,"1,393",105,"Korea, Republic of"
Say So,Doja Cat,2021-03-16,"1,391",106,"Korea, Republic of"
My Head & My Heart,Ava Max,2021-03-16,"1,390",107,"Korea, Republic of"
Sacrifice,Bebe Rexha,2021-03-16,"1,368",108,"Korea, Republic of"
Through the Night,IU,2021-03-16,"1,367",109,"Korea, Republic of"
Blueberry Eyes (feat. SUGA of BTS),MAX,2021-03-16,"1,361",110,"Korea, Republic of"
The Business,Tiësto,2021-03-16,"1,358",111,"Korea, Republic of"
사이렌,homieduel,2021-03-16,"1,357",112,"Korea, Republic of"
"10,000 Hours (with Justin Bieber)",Dan + Shay,2021-03-16,"1,357",113,"Korea, Republic of"
Not Shy,ITZY,2021-03-16,"1,344",114,"Korea, Republic of"
Spring Day,BTS,2021-03-16,"1,332",115,"Korea, Republic of"
Strawberries & Cigarettes,Troye Sivan,2021-03-16,"1,329",116,"Korea, Republic of"
Your Shampoo Scent In The Flowers,Jang Beom June,2021-03-16,"1,324",117,"Korea, Republic of"
WAP (feat. Megan Thee Stallion),Cardi B,2021-03-16,"1,322",118,"Korea, Republic of"
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",2021-03-16,"1,322",119,"Korea, Republic of"
Lemon Pepper Freestyle (feat. Rick Ross),Drake,2021-03-16,"1,319",120,"Korea, Republic of"
Never Not,Lauv,2021-03-16,"1,318",121,"Korea, Republic of"
For You,"LeeHi, Crush",2021-03-16,"1,295",122,"Korea, Republic of"
Why Why Why,iKON,2021-03-16,"1,292",123,"Korea, Republic of"
this is how you fall in love,"Jeremy Zucker, Chelsea Cutler",2021-03-16,"1,286",124,"Korea, Republic of"
Dolphin,OH MY GIRL,2021-03-16,"1,285",125,"Korea, Republic of"
Break My Heart,Dua Lipa,2021-03-16,"1,272",126,"Korea, Republic of"
What You Know Bout Love,Pop Smoke,2021-03-16,"1,271",127,"Korea, Republic of"
I Feel It Coming,"The Weeknd, Daft Punk",2021-03-16,"1,268",128,"Korea, Republic of"
Best Part (feat. Daniel Caesar),H.E.R.,2021-03-16,"1,268",129,"Korea, Republic of"
Tomorrow,"lIlBOI, GIRIBOY, BIG Naughty",2021-03-16,"1,260",130,"Korea, Republic of"
Youngblood,5 Seconds of Summer,2021-03-16,"1,260",131,"Korea, Republic of"
Kill This Love,BLACKPINK,2021-03-16,"1,257",132,"Korea, Republic of"
Señorita,"Shawn Mendes, Camila Cabello",2021-03-16,"1,248",133,"Korea, Republic of"
Falling,Harry Styles,2021-03-16,"1,243",134,"Korea, Republic of"
炎,LiSA,2021-03-16,"1,238",135,"Korea, Republic of"
Sweet Night,V,2021-03-16,"1,230",136,"Korea, Republic of"
Fireworks (I'm The One),ATEEZ,2021-03-16,"1,228",137,"Korea, Republic of"
DÁKITI,"Bad Bunny, Jhay Cortez",2021-03-16,"1,225",138,"Korea, Republic of"
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2021-03-16,"1,217",139,"Korea, Republic of"
Closer,"The Chainsmokers, Halsey",2021-03-16,"1,211",140,"Korea, Republic of"
for lovers who hesitate,JANNABI,2021-03-16,"1,206",141,"Korea, Republic of"
Whoopty,CJ,2021-03-16,"1,205",142,"Korea, Republic of"
Paradise (feat. Dermot Kennedy),MEDUZA,2021-03-16,"1,204",143,"Korea, Republic of"
As If It's Your Last,BLACKPINK,2021-03-16,"1,201",144,"Korea, Republic of"
Make A Wish (Birthday Song),NCT U,2021-03-16,"1,198",145,"Korea, Republic of"
夜に駆ける,YOASOBI,2021-03-16,"1,196",146,"Korea, Republic of"
instagram,DEAN,2021-03-16,"1,196",147,"Korea, Republic of"
parachute,John K,2021-03-16,"1,194",148,"Korea, Republic of"
Feels (feat. Khalid),WATTS,2021-03-16,"1,190",149,"Korea, Republic of"
Black Swan,BTS,2021-03-16,"1,186",150,"Korea, Republic of"
Jam & Butterfly,"DPR LIVE, Crush, Eaj",2021-03-16,"1,183",151,"Korea, Republic of"
everything i wanted,Billie Eilish,2021-03-16,"1,179",152,"Korea, Republic of"
If I Can't Have You,Shawn Mendes,2021-03-16,"1,163",153,"Korea, Republic of"
2Drunk,Nick Jonas,2021-03-16,"1,159",154,"Korea, Republic of"
Heather,Conan Gray,2021-03-16,"1,159",155,"Korea, Republic of"
Love poem,IU,2021-03-16,"1,157",156,"Korea, Republic of"
cardigan,Taylor Swift,2021-03-16,"1,152",157,"Korea, Republic of"
My Time,BTS,2021-03-16,"1,146",158,"Korea, Republic of"
Bet You Wanna (feat. Cardi B),BLACKPINK,2021-03-16,"1,144",159,"Korea, Republic of"
Painkiller,Ruel,2021-03-16,"1,144",160,"Korea, Republic of"
So Beautiful,DPR IAN,2021-03-16,"1,140",161,"Korea, Republic of"
SugarCrash!,ElyOtto,2021-03-16,"1,139",162,"Korea, Republic of"
Beautiful People (feat. Khalid),Ed Sheeran,2021-03-16,"1,134",163,"Korea, Republic of"
Serendipity (Full Length Edition),BTS,2021-03-16,"1,134",164,"Korea, Republic of"
Paris in the Rain,Lauv,2021-03-16,"1,129",165,"Korea, Republic of"
Something Just Like This,"The Chainsmokers, Coldplay",2021-03-16,"1,125",166,"Korea, Republic of"
Mikrokosmos,BTS,2021-03-16,"1,117",167,"Korea, Republic of"
90's Love,NCT U,2021-03-16,"1,111",168,"Korea, Republic of"
Who (feat. BTS),Lauv,2021-03-16,"1,110",169,"Korea, Republic of"
HOLO,LeeHi,2021-03-16,"1,107",170,"Korea, Republic of"
Spaceman,Nick Jonas,2021-03-16,"1,105",171,"Korea, Republic of"
Perfect,Ed Sheeran,2021-03-16,"1,093",172,"Korea, Republic of"
The Middle,"Zedd, Maren Morris, Grey",2021-03-16,"1,084",173,"Korea, Republic of"
Sucker,Jonas Brothers,2021-03-16,"1,073",174,"Korea, Republic of"
Shape of You,Ed Sheeran,2021-03-16,"1,071",175,"Korea, Republic of"
Blueberry Faygo,Lil Mosey,2021-03-16,"1,070",176,"Korea, Republic of"
CREDIT,"lIlBOI, YUMDDA, GIRIBOY, Zion.T",2021-03-16,"1,065",177,"Korea, Republic of"
bad guy,Billie Eilish,2021-03-16,"1,061",178,"Korea, Republic of"
GIRL LIKE ME,"Black Eyed Peas, Shakira",2021-03-16,"1,057",179,"Korea, Republic of"
Me After You,Paul Kim,2021-03-16,"1,056",180,"Korea, Republic of"
slower,Tate McRae,2021-03-16,"1,044",181,"Korea, Republic of"
Your Love (9PM),"ATB, Topic, A7S",2021-03-16,"1,043",182,"Korea, Republic of"
In Your Eyes,The Weeknd,2021-03-16,"1,040",183,"Korea, Republic of"
All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],Jay Park,2021-03-16,"1,039",184,"Korea, Republic of"
Love Story (Taylor’s Version),Taylor Swift,2021-03-16,"1,027",185,"Korea, Republic of"
Laugh Now Cry Later (feat. Lil Durk),Drake,2021-03-16,"1,023",186,"Korea, Republic of"
Golden,Harry Styles,2021-03-16,"1,021",187,"Korea, Republic of"
I.F.L.Y.,Bazzi,2021-03-16,"1,018",188,"Korea, Republic of"
Blank Space,Taylor Swift,2021-03-16,"1,005",189,"Korea, Republic of"
Achoo,"Mirani, pH-1, HAON",2021-03-16,"1,003",190,"Korea, Republic of"
Shiny Star(2020),KyoungSeo,2021-03-16,"1,002",191,"Korea, Republic of"
Give You My Heart,IU,2021-03-16,"1,002",192,"Korea, Republic of"
Put Your Records On,Ritt Momney,2021-03-16,"1,001",193,"Korea, Republic of"
Rosario,"Epik High, CL, ZICO",2021-03-16,"1,001",194,"Korea, Republic of"
On The Ground,ROSÉ,2021-03-19,"17,001",1,"Korea, Republic of"
Rollin',Brave Girls,2021-03-19,"14,119",2,"Korea, Republic of"
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-03-19,"9,496",3,"Korea, Republic of"
Gone,ROSÉ,2021-03-19,"8,771",4,"Korea, Republic of"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-03-19,"8,704",5,"Korea, Republic of"
Celebrity,IU,2021-03-19,"7,837",6,"Korea, Republic of"
Hold On,Justin Bieber,2021-03-19,"7,729",7,"Korea, Republic of"
Dynamite,BTS,2021-03-19,"7,434",8,"Korea, Republic of"
As I Am (feat. Khalid),Justin Bieber,2021-03-19,"6,041",9,"Korea, Republic of"
Save Your Tears,The Weeknd,2021-03-19,"5,092",10,"Korea, Republic of"
Levitating (feat. DaBaby),Dua Lipa,2021-03-19,"4,755",11,"Korea, Republic of"
Life Goes On,BTS,2021-03-19,"4,336",12,"Korea, Republic of"
drivers license,Olivia Rodrigo,2021-03-19,"4,282",13,"Korea, Republic of"
We Ride,Brave Girls,2021-03-19,"4,275",14,"Korea, Republic of"
Lovesick Girls,BLACKPINK,2021-03-19,"4,250",15,"Korea, Republic of"
Up,Cardi B,2021-03-19,"4,144",16,"Korea, Republic of"
We're Good,Dua Lipa,2021-03-19,"3,873",17,"Korea, Republic of"
Anyone,Justin Bieber,2021-03-19,"3,800",18,"Korea, Republic of"
Don't Call Me,SHINee,2021-03-19,"3,756",19,"Korea, Republic of"
Blinding Lights,The Weeknd,2021-03-19,"3,745",20,"Korea, Republic of"
What’s Next,Drake,2021-03-19,"3,729",21,"Korea, Republic of"
telepatía,Kali Uchis,2021-03-19,"3,725",22,"Korea, Republic of"
At My Worst,Pink Sweat$,2021-03-19,"3,702",23,"Korea, Republic of"
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021-03-19,"3,681",24,"Korea, Republic of"
Astronaut In The Ocean,Masked Wolf,2021-03-19,"3,653",25,"Korea, Republic of"
eight(Prod.&Feat. SUGA of BTS),IU,2021-03-19,"3,558",26,"Korea, Republic of"
Holy (feat. Chance The Rapper),Justin Bieber,2021-03-19,"3,463",27,"Korea, Republic of"
Heartbreak Anniversary,Giveon,2021-03-19,"3,456",28,"Korea, Republic of"
MELODY,ASH ISLAND,2021-03-19,"3,321",29,"Korea, Republic of"
34+35,Ariana Grande,2021-03-19,"2,968",30,"Korea, Republic of"
Deserve You,Justin Bieber,2021-03-19,"2,940",31,"Korea, Republic of"
How You Like That,BLACKPINK,2021-03-19,"2,923",32,"Korea, Republic of"
Unstable (feat. The Kid LAROI),Justin Bieber,2021-03-19,"2,908",33,"Korea, Republic of"
TAIL,SUNMI,2021-03-19,"2,879",34,"Korea, Republic of"
Off My Face,Justin Bieber,2021-03-19,"2,838",35,"Korea, Republic of"
2 Much,Justin Bieber,2021-03-19,"2,835",36,"Korea, Republic of"
Boy With Luv (feat. Halsey),BTS,2021-03-19,"2,827",37,"Korea, Republic of"
Blueming,IU,2021-03-19,"2,731",38,"Korea, Republic of"
Don't Start Now,Dua Lipa,2021-03-19,"2,592",39,"Korea, Republic of"
Love You Different (feat. BEAM),Justin Bieber,2021-03-19,"2,574",40,"Korea, Republic of"
Mood (feat. iann dior),24kGoldn,2021-03-19,"2,560",41,"Korea, Republic of"
positions,Ariana Grande,2021-03-19,"2,529",42,"Korea, Republic of"
Good Days,SZA,2021-03-19,"2,503",43,"Korea, Republic of"
VVS,"Mirani, Munchman, Khundi Panda, MUSHVENOM, JUSTHIS",2021-03-19,"2,473",44,"Korea, Republic of"
Watermelon Sugar,Harry Styles,2021-03-19,"2,463",45,"Korea, Republic of"
Circles,Post Malone,2021-03-19,"2,405",46,"Korea, Republic of"
What Type of X,Jessi,2021-03-19,"2,403",47,"Korea, Republic of"
Lonely (with benny blanco),Justin Bieber,2021-03-19,"2,393",48,"Korea, Republic of"
Streets,Doja Cat,2021-03-19,"2,375",49,"Korea, Republic of"
Follow You,Imagine Dragons,2021-03-19,"2,349",50,"Korea, Republic of"
Panorama,IZ*ONE,2021-03-19,"2,323",51,"Korea, Republic of"
Die For You (feat. Dominic Fike),Justin Bieber,2021-03-19,"2,305",52,"Korea, Republic of"
Calling My Phone,"Lil Tjay, 6LACK",2021-03-19,"2,284",53,"Korea, Republic of"
Best Friend (feat. Doja Cat),Saweetie,2021-03-19,"2,226",54,"Korea, Republic of"
I CAN'T STOP ME,TWICE,2021-03-19,"2,218",55,"Korea, Republic of"
2002,Anne-Marie,2021-03-19,"2,207",56,"Korea, Republic of"
Bicycle,CHUNG HA,2021-03-19,"2,193",57,"Korea, Republic of"
Blue & Grey,BTS,2021-03-19,"2,185",58,"Korea, Republic of"
Loved By You (feat. Burna Boy),Justin Bieber,2021-03-19,"2,106",59,"Korea, Republic of"
FRIENDS,"lIlBOI, Wonstein",2021-03-19,"2,061",60,"Korea, Republic of"
Black Mamba,aespa,2021-03-19,"2,056",61,"Korea, Republic of"
Nerves,DPR IAN,2021-03-19,"2,034",62,"Korea, Republic of"
WITHOUT YOU,The Kid LAROI,2021-03-19,"2,033",63,"Korea, Republic of"
Ghost,Justin Bieber,2021-03-19,"2,012",64,"Korea, Republic of"
Somebody,Justin Bieber,2021-03-19,"1,975",65,"Korea, Republic of"
Someone You Loved,Lewis Capaldi,2021-03-19,"1,958",66,"Korea, Republic of"
Heat Waves,Glass Animals,2021-03-19,"1,933",67,"Korea, Republic of"
Goosebumps - Remix,"Travis Scott, HVME",2021-03-19,"1,920",68,"Korea, Republic of"
METEOR,CHANGMO,2021-03-19,"1,905",69,"Korea, Republic of"
I Like Me Better,Lauv,2021-03-19,"1,903",70,"Korea, Republic of"
What Do I Call You,TAEYEON,2021-03-19,"1,855",71,"Korea, Republic of"
Fly To My Room,BTS,2021-03-19,"1,836",72,"Korea, Republic of"
Telepathy,BTS,2021-03-19,"1,780",73,"Korea, Republic of"
Pretty Savage,BLACKPINK,2021-03-19,"1,771",74,"Korea, Republic of"
Party Forever,Simon Dominic,2021-03-19,"1,748",75,"Korea, Republic of"
Therefore I Am,Billie Eilish,2021-03-19,"1,747",76,"Korea, Republic of"
Dis-ease,BTS,2021-03-19,"1,745",77,"Korea, Republic of"
Memories,Maroon 5,2021-03-19,"1,743",78,"Korea, Republic of"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2021-03-19,"1,719",79,"Korea, Republic of"
Hold my hand,IU,2021-03-19,"1,695",80,"Korea, Republic of"
comethru,Jeremy Zucker,2021-03-19,"1,687",81,"Korea, Republic of"
Wants and Needs (feat. Lil Baby),Drake,2021-03-19,"1,676",82,"Korea, Republic of"
Maniac,Conan Gray,2021-03-19,"1,674",83,"Korea, Republic of"
Psycho,Red Velvet,2021-03-19,"1,662",84,"Korea, Republic of"
Stay,BTS,2021-03-19,"1,634",85,"Korea, Republic of"
Adore You,Harry Styles,2021-03-19,"1,614",86,"Korea, Republic of"
Ice Cream (with Selena Gomez),BLACKPINK,2021-03-19,"1,600",87,"Korea, Republic of"
Filter,BTS,2021-03-19,"1,599",88,"Korea, Republic of"
Be Kind (with Halsey),Marshmello,2021-03-19,"1,598",89,"Korea, Republic of"
"How can I love the heartbreak, you're the one I love",AKMU,2021-03-19,"1,594",90,"Korea, Republic of"
Overdrive,Conan Gray,2021-03-19,"1,589",91,"Korea, Republic of"
Intentions (feat. Quavo),Justin Bieber,2021-03-19,"1,574",92,"Korea, Republic of"
The Business,Tiësto,2021-03-19,"1,567",93,"Korea, Republic of"
Bang!,AJR,2021-03-19,"1,565",94,"Korea, Republic of"
ON,BTS,2021-03-19,"1,565",95,"Korea, Republic of"
I'm Not Cool,HyunA,2021-03-19,"1,550",96,"Korea, Republic of"
Arcade,Duncan Laurence,2021-03-19,"1,544",97,"Korea, Republic of"
Stuck with U (with Justin Bieber),Ariana Grande,2021-03-19,"1,541",98,"Korea, Republic of"
Savage Love (Laxed – Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo",2021-03-19,"1,540",99,"Korea, Republic of"
Square (2017),Yerin Baek,2021-03-19,"1,527",100,"Korea, Republic of"
Not Shy,ITZY,2021-03-19,"1,520",101,"Korea, Republic of"
Rain On Me (with Ariana Grande),Lady Gaga,2021-03-19,"1,515",102,"Korea, Republic of"
willow,Taylor Swift,2021-03-19,"1,503",103,"Korea, Republic of"
i'm so tired...,"Lauv, Troye Sivan",2021-03-19,"1,498",104,"Korea, Republic of"
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",2021-03-19,"1,470",105,"Korea, Republic of"
Say So,Doja Cat,2021-03-19,"1,455",106,"Korea, Republic of"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2021-03-19,"1,449",107,"Korea, Republic of"
Baila Conmigo (with Rauw Alejandro),Selena Gomez,2021-03-19,"1,433",108,"Korea, Republic of"
Your Shampoo Scent In The Flowers,Jang Beom June,2021-03-19,"1,431",109,"Korea, Republic of"
MLK Interlude,"Justin Bieber, -",2021-03-19,"1,429",110,"Korea, Republic of"
you broke me first,Tate McRae,2021-03-19,"1,428",111,"Korea, Republic of"
"10,000 Hours (with Justin Bieber)",Dan + Shay,2021-03-19,"1,428",112,"Korea, Republic of"
My Head & My Heart,Ava Max,2021-03-19,"1,419",113,"Korea, Republic of"
BBIBBI,IU,2021-03-19,"1,414",114,"Korea, Republic of"
Dolphin,OH MY GIRL,2021-03-19,"1,413",115,"Korea, Republic of"
What Other People Say,"Sam Fischer, Demi Lovato",2021-03-19,"1,410",116,"Korea, Republic of"
Palette (feat. G-DRAGON),IU,2021-03-19,"1,409",117,"Korea, Republic of"
Through the Night,IU,2021-03-19,"1,405",118,"Korea, Republic of"
사이렌,homieduel,2021-03-19,"1,397",119,"Korea, Republic of"
Never Not,Lauv,2021-03-19,"1,396",120,"Korea, Republic of"
test drive,Ariana Grande,2021-03-19,"1,390",121,"Korea, Republic of"
If the World Was Ending - feat. Julia Michaels,JP Saxe,2021-03-19,"1,387",122,"Korea, Republic of"
Euphoria,BTS,2021-03-19,"1,384",123,"Korea, Republic of"
Strawberries & Cigarettes,Troye Sivan,2021-03-19,"1,384",124,"Korea, Republic of"
ROCKSTAR (feat. Roddy Ricch),DaBaby,2021-03-19,"1,382",125,"Korea, Republic of"
Prisoner (feat. Dua Lipa),Miley Cyrus,2021-03-19,"1,355",126,"Korea, Republic of"
